@RELATION pacman-data-training

	 @ATTRIBUTE pacman-x NUMERIC
	 @ATTRIBUTE pacman-y NUMERIC
	 @ATTRIBUTE ghost-x NUMERIC
	 @ATTRIBUTE ghost-y NUMERIC
	 @ATTRIBUTE ghost-distance NUMERIC
	 @ATTRIBUTE north-legal {True,False}
	 @ATTRIBUTE south-legal {True,False}
	 @ATTRIBUTE east-legal {True,False}
	 @ATTRIBUTE west-legal {True,False}
	 @ATTRIBUTE ghost-move {North,South,East,West,Stop,None}
	 @ATTRIBUTE score NUMERIC
	 @ATTRIBUTE final-move {North,South,East,West,Stop}
	 @ATTRIBUTE next_score NUMERIC

	 @data
12,10,13,12,3,True,True,True,True,Stop,-28,Stop,-29
12,10,13,12,3,True,True,True,True,Stop,-29,Stop,-30
12,10,13,12,3,True,True,True,True,Stop,-30,Stop,-31
12,10,13,12,3,True,True,True,True,Stop,-31,Stop,-32
12,10,13,12,3,True,True,True,True,Stop,-32,Stop,-33
12,10,13,12,3,True,True,True,True,Stop,-33,Stop,-34
12,10,13,12,3,True,True,True,True,Stop,-34,Stop,-35
12,10,13,12,3,True,True,True,True,Stop,-35,Stop,-36
12,10,13,12,3,True,True,True,True,Stop,-36,Stop,-37
12,10,13,12,3,True,True,True,True,Stop,-37,Stop,-38
12,10,13,12,3,True,True,True,True,Stop,-38,Stop,-39
12,10,13,12,3,True,True,True,True,Stop,-39,Stop,-40
12,10,13,12,3,True,True,True,True,Stop,-40,Stop,-41
12,10,13,12,3,True,True,True,True,Stop,-41,Stop,-42
12,10,13,12,3,True,True,True,True,Stop,-42,Stop,-43
12,10,13,12,3,True,True,True,True,Stop,-43,Stop,-44
12,10,13,12,3,True,True,True,True,Stop,-44,Stop,-45
12,10,13,12,3,True,True,True,True,Stop,-45,Stop,-46
12,10,13,12,3,True,True,True,True,Stop,-46,Stop,-47
12,10,13,12,3,True,True,True,True,Stop,-47,Stop,-48
12,10,13,12,3,True,True,True,True,Stop,-48,Stop,-49
12,10,13,12,3,True,True,True,True,Stop,-49,Stop,-50
12,10,13,12,3,True,True,True,True,Stop,-50,Stop,-51
12,10,13,12,3,True,True,True,True,Stop,-51,Stop,-52
12,10,13,12,3,True,True,True,True,Stop,-52,Stop,-53
12,10,13,12,3,True,True,True,True,Stop,-53,Stop,-54
12,10,13,12,3,True,True,True,True,Stop,-54,Stop,-55
12,10,13,12,3,True,True,True,True,Stop,-55,Stop,-56
12,10,13,12,3,True,True,True,True,Stop,-56,Stop,-57
12,10,13,12,3,True,True,True,True,Stop,-57,Stop,-58
12,10,13,12,3,True,True,True,True,Stop,-58,Stop,-59
12,10,13,12,3,True,True,True,True,Stop,-59,Stop,-60
12,10,13,12,3,True,True,True,True,Stop,-60,Stop,-61
12,10,13,12,3,True,True,True,True,Stop,-61,Stop
12,10,13,12,3,True,True,True,True,None,0,Stop,-1
12,11,13,12,2,True,True,True,True,Stop,-1,North,-2
13,11,13,12,1,True,True,True,True,Stop,-2,East,197
13,12,13,6,6,True,True,True,True,Stop,197,North,196
13,11,13,6,5,True,True,True,True,Stop,196,South,195
13,10,13,6,4,True,True,True,True,Stop,195,South,194
13,9,13,6,3,True,True,True,True,Stop,194,South,193
13,8,13,6,2,True,True,True,True,Stop,193,South,192
